sentiment,text
neutral,"The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia ."
neutral,UNC Charlotte would also deploy SSH Tectia Connector to enable secure application connectivity .
neutral,"In 2009 , Lee & Man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp ."
neutral,"`` That 's a very high figure on the European scale , '' Noop said , recalling however that this also includes beer bought by Finnish tourists ."
neutral,"In Finland , the corresponding service is Alma Media 's Etuovi.com , Finland 's most popular and best known nationwide online service for home and property sales ."
neutral,Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .
positive,"Finnish-owned contract manufacturer of electronics Elcoteq Hungary Kft has announced plans to recruit more than 650 new staffers to fulfill new orders in P+_cs , where the company has two plants ."
neutral,"The gross area of the Innova 2 project will be about 10,000 sq m ( 107,600 sq ft ) ."
neutral,Finnish home decoration and arts and crafts retailer Tiimari Plc ( OMX Helsinki : TII1V ) reported on Monday ( 18 August ) an operating loss of EUR3 .3 m on net sales of EUR33 .9 m for the period January-June 2008 .
neutral,Deliveries will start in the second half of 2007 and the start-up of the mill is scheduled for 2008 .
neutral,"Steek , which was set up in 2002 , is based in Bordeaux , southwestern France ."
positive,"Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier ."
neutral,"The store is located in Poznan in a shopping center named Pestka , the company added ."
neutral,The value of the order is USD 2.2 mn .
neutral,The company expects meat purchases to remain at about 8mn kilos in 2011 .
neutral,Finnish house manufacturers are targeting the strongly growing one-family house market in Russia .
neutral,The deal was worth about EUR 1.2 mn .
neutral,Any investment or investment activity to which this communication relates is only available to relevant persons and will be engaged in only with relevant persons .
neutral,Following the increase the company+EUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .
negative,"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report ."
negative,"According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 ."
neutral,The issue came up in connection with discussion with local municipalities concerning the sale of water to industrial facilities .
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .
neutral,"Its annual capacity is some 10,000 MW ."
neutral,"The Finnish company is building a 800,000 mt-year biodiesel plant in Singapore ."
positive,"The long-standing partnership and commitment enable both parties to develop their respective operations , and ESL Shipping will also have the opportunity to update its fleet and improve its efficiency ."
